region,name,category,village_name,village_slug,lat,lng,description,phone,price_range,attributes_json,source_url,source_name,confidence,obscurity
spiti,Tenzi Homestay,homestay,Langza,langza,32.274790,78.085511,"One of the most well-known homestays in Langza village, mentioned across multiple Spiti blogs for its central location and home-cooked meals.",9459566627,₹800-1200/night,"{""meals_included"": true}",https://discoverwithdheeraj.com/spiti-valley-homestays/,Discover with Dheeraj blog,"verified (scattered around village center, not an exact geocoded spot)",mainstream
spiti,Lara's Homestay,homestay,Langza,langza,32.276011,78.085261,"Traditional mud-house homestay in Langza (one of ~30 houses in the village), known for home-cooked meals and mountain/Buddha-statue views.",094185 37689,₹3000/day,{},https://banjaraexperiences.com/stays/laras-homestay,Banjara Experiences / Tripadvisor,"verified (scattered around village center, not an exact geocoded spot)",mainstream
spiti,Sonam Homestay,homestay,Langza,langza,32.276192,78.085405,Homestay in Langza village listed with contact numbers.,094187 57464,,{},https://vargiskhan.com/log/best-homestays-in-spiti-valley/,Vargis Khan blog,"single-source (scattered around village center, not an exact geocoded spot)",mainstream
spiti,Phan Dey Home Stay,homestay,Langza,langza,32.275025,78.085050,Homestay in Langza village listed with contact number.,9418620454,,{},https://vargiskhan.com/log/best-homestays-in-spiti-valley/,Vargis Khan blog,"single-source (scattered around village center, not an exact geocoded spot)",mainstream
spiti,Cho Cho Kang Niylta Home Stay,homestay,Langza,langza,32.275117,78.086214,Homestay in Langza village listed with contact number.,8988209334,,{},https://vargiskhan.com/log/best-homestays-in-spiti-valley/,Vargis Khan blog,"single-source (scattered around village center, not an exact geocoded spot)",mainstream
spiti,Norkhyil Home Stay,homestay,Langza,langza,32.275445,78.085727,Homestay in Langza village listed with contact number.,8988485081,,{},https://vargiskhan.com/log/best-homestays-in-spiti-valley/,Vargis Khan blog,"single-source (scattered around village center, not an exact geocoded spot)",mainstream
spiti,Norling Homestay,homestay,Kibber,kibber,32.334030,78.016380,Widely cited as the oldest and most famous homestay in Kibber village.,9418556107,,{},https://vargiskhan.com/log/best-homestays-in-spiti-valley/,Vargis Khan blog,"verified (scattered around village center, not an exact geocoded spot)",mainstream
spiti,Deshek Homestay (Tashi Homestay),homestay,Kibber,kibber,32.332407,78.016945,"Basic, clean homestay in Kibber listed among the village's main accommodation options.",7650074070,,{},https://taleof2backpackers.com/kibber-gette-tashigang/,Tale of 2 Backpackers blog,"verified (scattered around village center, not an exact geocoded spot)",mainstream
spiti,Kanamo Home Stay,homestay,Kibber,kibber,32.333891,78.015949,Homestay in Kibber village named in multiple Spiti travel-blog homestay lists.,9459053363,,{},https://vargiskhan.com/log/best-homestays-in-spiti-valley/,Vargis Khan blog,"verified (scattered around village center, not an exact geocoded spot)",mainstream
spiti,Tanzin Home Stay,homestay,Kibber,kibber,32.333752,78.016765,Homestay in Kibber village named in multiple Spiti travel-blog homestay lists.,9418720036,,{},https://taleof2backpackers.com/kibber-gette-tashigang/,Tale of 2 Backpackers blog,"verified (scattered around village center, not an exact geocoded spot)",mainstream
spiti,Thinley Homestay,homestay,Kibber,kibber,32.333787,78.017466,Homestay in Kibber village listed with contact number by a Spiti homestay directory blog.,09459725525,,{},https://vargiskhan.com/log/best-homestays-in-spiti-valley/,Vargis Khan blog,"single-source (scattered around village center, not an exact geocoded spot)",mainstream
spiti,Sonam Home Stay,homestay,Kibber,kibber,32.332822,78.016256,Homestay in Kibber village listed with contact number by a Spiti homestay directory blog.,9459980911,,{},https://vargiskhan.com/log/best-homestays-in-spiti-valley/,Vargis Khan blog,"single-source (scattered around village center, not an exact geocoded spot)",mainstream
spiti,Serkong Home Stay,homestay,Kibber,kibber,32.334140,78.017107,Homestay in Kibber village listed with contact number by a Spiti homestay directory blog.,8918355693,,{},https://vargiskhan.com/log/best-homestays-in-spiti-valley/,Vargis Khan blog,"single-source (scattered around village center, not an exact geocoded spot)",mainstream
spiti,Tanpa Homestay,homestay,Komic,komic,32.232718,78.109768,"Probably the most known homestay in Komic, the highest motorable village in Asia.",9459483143,,{},https://vargiskhan.com/log/best-homestays-in-spiti-valley/,Vargis Khan blog,"verified (scattered around village center, not an exact geocoded spot)",mainstream
spiti,Gompa's House,homestay,Komic,komic,32.233029,78.110127,Homestay near Tangyud Monastery in Komic village.,9873146404,,{},https://vargiskhan.com/log/best-homestays-in-spiti-valley/,Vargis Khan blog,"single-source (scattered around village center, not an exact geocoded spot)",mainstream
spiti,Padma Homestay,homestay,Komic,komic,32.233322,78.110668,Homestay option in Komic village listed with contact number.,9459357872,,{},https://vargiskhan.com/log/best-homestays-in-spiti-valley/,Vargis Khan blog,"single-source (scattered around village center, not an exact geocoded spot)",mainstream
spiti,Phuntsok Homestay,homestay,Tabo,tabo,32.094946,78.385250,"Homestay close to Tabo Monastery, offering tea, breakfast and dinner.",9418576181,₹800-1000/person,"{""meals_included"": true}",https://discoverwithdheeraj.com/spiti-valley-homestays/,Discover with Dheeraj blog,"verified (scattered around village center, not an exact geocoded spot)",mainstream
spiti,Sheela Peak Home Stay,homestay,Tabo,tabo,32.092914,78.385637,Homestay in Tabo village listed with contact number by a Spiti homestay directory blog.,9418504229,,{},https://vargiskhan.com/log/best-homestays-in-spiti-valley/,Vargis Khan blog,"single-source (scattered around village center, not an exact geocoded spot)",mainstream
spiti,Dechen Ling Home Stay and Guest House,homestay,Tabo,tabo,32.095298,78.382119,Homestay/guest house in Tabo village listed with contact number.,9418188749,,{},https://vargiskhan.com/log/best-homestays-in-spiti-valley/,Vargis Khan blog,"single-source (scattered around village center, not an exact geocoded spot)",mainstream
spiti,Kunga Home Stay,homestay,Tabo,tabo,32.094615,78.385967,Homestay in Tabo village listed with contact number.,8988124157,,{},https://vargiskhan.com/log/best-homestays-in-spiti-valley/,Vargis Khan blog,"single-source (scattered around village center, not an exact geocoded spot)",mainstream
spiti,Nirvana Home Stay,homestay,Tabo,tabo,32.095472,78.383547,Homestay in Tabo village listed with contact number.,9459392699,,{},https://vargiskhan.com/log/best-homestays-in-spiti-valley/,Vargis Khan blog,"single-source (scattered around village center, not an exact geocoded spot)",mainstream
spiti,Tabo Home Stay,homestay,Tabo,tabo,32.095953,78.382681,Homestay in Tabo village listed with landline contact.,01906-223362,,{},https://vargiskhan.com/log/best-homestays-in-spiti-valley/,Vargis Khan blog,"single-source (scattered around village center, not an exact geocoded spot)",mainstream
spiti,Maitrey Guest Home Stay,homestay,Tabo,tabo,32.092372,78.384311,Guest homestay in Tabo village listed with contact number.,01906-223329,,{},https://vargiskhan.com/log/best-homestays-in-spiti-valley/,Vargis Khan blog,"single-source (scattered around village center, not an exact geocoded spot)",mainstream
spiti,Rabsal Homestay,homestay,Dhankar,dhankar,32.090247,78.215897,"Homestay in Dhankar village, 6 rooms, breakfast and dinner included; contact Gianchho.",9418411224,₹700/person,"{""meals_included"": true, ""host_name"": ""Gianchho""}",https://vargiskhan.com/log/best-homestays-in-spiti-valley/,Vargis Khan blog,"verified (scattered around village center, not an exact geocoded spot)",mainstream
spiti,Manirang Homestay (Family Guest House),homestay,Dhankar,dhankar,32.091000,78.214910,"Dhankar homestay run by Anil Bodh, offering breakfast and dinner or any two meals.",8988053409,₹700-1000/person,"{""meals_included"": true, ""host_name"": ""Anil Bodh""}",https://discoverwithdheeraj.com/spiti-valley-homestays/,Discover with Dheeraj blog,"single-source (scattered around village center, not an exact geocoded spot)",mainstream
spiti,Dhankar Home Stay,homestay,Dhankar,dhankar,32.090161,78.213964,"Homestay in Dhankar village, contact Anil.",9999731115,,"{""host_name"": ""Anil""}",https://vargiskhan.com/log/best-homestays-in-spiti-valley/,Vargis Khan blog,"single-source (scattered around village center, not an exact geocoded spot)",mainstream
spiti,Eay-ma-ho Home Stay,homestay,Dhankar,dhankar,32.090765,78.214447,Homestay in Dhankar village listed with contact number.,8988007090,,{},https://vargiskhan.com/log/best-homestays-in-spiti-valley/,Vargis Khan blog,"single-source (scattered around village center, not an exact geocoded spot)",mainstream
spiti,Tenzin Home Stay,homestay,Dhankar,dhankar,32.090254,78.214791,Homestay in Dhankar village listed with contact number.,9418719839,,{},https://vargiskhan.com/log/best-homestays-in-spiti-valley/,Vargis Khan blog,"single-source (scattered around village center, not an exact geocoded spot)",mainstream
spiti,Tashi Home Stay,homestay,Dhankar,dhankar,32.089658,78.214858,Homestay in Dhankar village listed with contact number.,8988481696,,{},https://vargiskhan.com/log/best-homestays-in-spiti-valley/,Vargis Khan blog,"single-source (scattered around village center, not an exact geocoded spot)",mainstream
spiti,Yangzor Home Stay,homestay,Dhankar,dhankar,32.090909,78.216041,Homestay in Dhankar village listed with contact number.,9418518317,,{},https://vargiskhan.com/log/best-homestays-in-spiti-valley/,Vargis Khan blog,"single-source (scattered around village center, not an exact geocoded spot)",mainstream
spiti,Tara Homestay and Guest House,homestay,Mudh,mudh,31.958691,78.033341,"First homestay of Pin Valley (est. 2004), run by host Sonam, offering Indian/Chinese/Tibetan/Spitian food and trekking/jeep safari arrangements.",8988062293,₹1000-1300/person,"{""host_name"": ""Sonam"", ""meals_included"": true}",https://discoverwithdheeraj.com/spiti-valley-homestays/,Discover with Dheeraj blog,"verified (scattered around village center, not an exact geocoded spot)",mainstream
